"campaignid","opcode","family","genus","species","code","length_mm","number","range","rms","precision","latitude_dd","longitude_dd","date_time","site","location","status","depth_m","successful_count","successful_length","observer_count","observer_length","inclusion_probability","visibility_m"
"2024_Albany_stereo-BRUVs","1","Sillaginidae","Sillaginodes","punctatus","37330001",NA,0,NA,NA,NA,-35.037,117.893,"2024-04-26T12:38:00+08:00",NA,NA,"Fished","11.4","Yes","Yes","Joshua","Annika",NA,NA
"2024_Albany_stereo-BRUVs","11","Sillaginidae","Sillaginodes","punctatus","37330001",NA,0,NA,NA,NA,-35.054,117.872,"2024-04-25T12:02:00+08:00",NA,NA,"Fished","1.7","Yes","Yes","Michele","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","15","Sillaginidae","Sillaginodes","punctatus","37330001",NA,0,NA,NA,NA,-35.032,117.883,"2024-04-26T13:00:00+08:00",NA,NA,"Fished","5.4","Yes","Yes","Joshua","Annika",NA,NA
"2024_Albany_stereo-BRUVs","17","Sillaginidae","Sillaginodes","punctatus","37330001",NA,0,NA,NA,NA,-35.063,117.882,"2024-04-25T09:45:00+08:00",NA,NA,"Fished","3.1","Yes","Yes","Eden","Michele",NA,NA
"2024_Albany_stereo-BRUVs","18","Sillaginidae","Sillaginodes","punctatus","37330001",NA,0,NA,NA,NA,-35.067,117.882,"2024-04-25T09:36:00+08:00",NA,NA,"Fished","0.9","Yes","Yes","Dillon","Michele",NA,NA
"2024_Albany_stereo-BRUVs","19","Sillaginidae","Sillaginodes","punctatus","37330001",NA,0,NA,NA,NA,-35.033,117.868,"2024-04-25T13:01:00+08:00",NA,NA,"Fished","2.3","Yes","Yes","Sylvie","Dillon",NA,NA
"2024_Albany_stereo-BRUVs","20","Sillaginidae","Sillaginodes","punctatus","37330001",NA,0,NA,NA,NA,-35.035,117.861,"2024-04-25T12:26:00+08:00",NA,NA,"Fished","1.7","Yes","Yes","Sylvie","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","3","Sillaginidae","Sillaginodes","punctatus","37330001",NA,0,NA,NA,NA,-35.039,117.898,"2024-04-26T12:10:00+08:00",NA,NA,"Fished","14.5","Yes","Yes","Eden","Annika",NA,NA
"2024_Albany_stereo-BRUVs","4","Sillaginidae","Sillaginodes","punctatus","37330001",NA,0,NA,NA,NA,-35.04,117.903,"2024-04-26T12:00:00+08:00",NA,NA,"Fished","13.5","Yes","Yes","Ryan","Annika",NA,NA
"2024_Albany_stereo-BRUVs","5","Sillaginidae","Sillaginodes","punctatus","37330001",NA,0,NA,NA,NA,-35.038,117.897,"2024-04-26T12:12:00+08:00",NA,NA,"Fished","15","Yes","Yes","Dillon","Sylvie",NA,NA
"2024_Albany_stereo-BRUVs","54","Sillaginidae","Sillaginodes","punctatus","37330001",NA,0,NA,NA,NA,-35.066,117.881,"2024-04-25T09:30:00+08:00",NA,NA,"Fished","1.8","Yes","Yes","Annika","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","56","Sillaginidae","Sillaginodes","punctatus","37330001",NA,0,NA,NA,NA,-35.065,117.881,"2024-04-25T09:41:00+08:00",NA,NA,"Fished","2.2","Yes","Yes","Annika","Joshua",NA,NA
"2024_Albany_stereo-BRUVs","58","Sillaginidae","Sillaginodes","punctatus","37330001",NA,0,NA,NA,NA,-35.062,117.879,"2024-04-25T11:21:00+08:00",NA,NA,"Fished","1.9","Yes","Yes","Annika","Dillon",NA,NA
